id;st;us   ;facies;forme;morphologie;aspect;longueur;largeur;epaisseur;poids;magnetisme
81;192;us_1;SFR;Ovale Large;Plano-Convexe;Régulier ;35;56;31;60;Local
82;198;;SFR;Ovale Long;Plano-Convexe;Régulier ;40;67;30;65;Faible 
83;691;;SFR;Ovale Large;Plano-Convexe;Irrégulier;63;80;30;155;Local
84;691;;SFR;Ovale Large;Concavo-convexe;Irrégulier;27;54;26;45;Fort
85;416;;SFR;Ovale Large;Aplatie;Irrégulier;85;98;37;240;Faible 
86;416;;SFR;Rond;Aplatie;Régulier ;50;53;16;50;Fort
87;444;us_1;SFR;Ovale Large;Plano-Convexe;Régulier ;44;73;31;130;Local
88;194;;SFR;Circulaire avec 2 bords d'appuis rectilignes;Plano-Convexe;Régulier ;17;18;15;5;Faible 
89;420;us_2;SFR;Rond;Plano-Convexe;Irrégulier;41;37;33;55;Fort
90;420;us_2;SFR;Ovale Large;Plano-Convexe;Régulier ;43;78;26;110;Local
91;420;us_2;SFR;Ovale Large;Concavo-convexe;Régulier ;27;55;26;90;Fort
92;420;us_2;SFR;Ovale Long;Plano-Convexe;Régulier ;40;32;20;50;Fort
93;420;us_2;SFR;Circulaire avec 2 bords d'appuis rectilignes;Plano-Convexe;Régulier ;40;37;35;30;Local
94;420;us_2;SFR;Rond;Plano-Convexe;Régulier ;39;42;24;55;Fort
95;420;us_2;SFR;Ovale Long;Concavo-convexe;Régulier ;80;65;23;180;Local
96;406;2eme_moitie;SFR;Ovale Large;Plano-Convexe;Régulier ;25;41;17;20;Fort
97;177;;SFR;Rond;Concavo-convexe;Régulier ;28;26;20;20;Fort
98;198;;SFR;Ovale Large avec 1 bord d'appui rectiligne en TC;Plano-convexe tronquée;Régulier ;23;56;37;56;Local
99;397;us_3;SFR;Semi-circulaire;Plano-convexe tronquée;Régulier ;33;31;24;17;Local
100;397;us_3;SFR;Semi-circulaire;Aplatie;Régulier ;32;39;18;14;Local
101;405;;SFR;Semi-circulaire;Plano-convexe tronquée;Déchiqueté;46;55;30;45;Faible 
102;420;us_1;SFR;Ovale Large;Plano-Convexe;Irrégulier;28;34;27;24;Fort
103;420;us_1;SFR;Semi-circulaire;Aplatie;Régulier ;31;40;17;31;Fort
104;420;us_1;SFR;Semi-circulaire;Aplatie;Régulier ;29;36;16;18;Fort
105;192;us_1;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Irrégulier;19;55;37;42;Faible 
106;192;us_1;SFR;Rond;Plano-Convexe;Lisse;46;47;27;63;Fort
107;192;us_1;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Régulier ;42;87;24;153;Fort
108;192;us_1;SFR;Semi-circulaire;Plano-convexe tronquée;Irrégulier;31;47;35;64;Fort
109;192;us_1;SFR;Ovale Large;Plano-Convexe;Régulier ;17;27;21;14;Fort
110;743;us_1 ;SFR;Ovale Large;Plano-convexe tronquée;Régulier ;25;39;33;30;Fort
111;408;;SFR;Semi-circulaire;Plano-convexe tronquée;Régulier ;19;24;10;6;Fort
112;408;;SFR;Ovale Long;Aplatie;Irrégulier;19;21;9;9;Fort
113;175;;SFR;Semi-circulaire;Aplatie;Lisse;63;93;34;246;Fort
114;175;;SFR;Semi-circulaire;Plano-convexe tronquée;Régulier ;43;48;27;67;Fort
115;175;;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Régulier ;30;66;30;70;Faible 
116;175;;SFR;Rond;Plano-Convexe;Régulier ;26;27;23;18;Local
117;175;;SFR;Semi-circulaire;Aplatie;Régulier ;39;50;22;45;Fort
118;177;;SFR;Semi-circulaire;Plano-Convexe;Régulier ;65;86;38;345;Fort
119;177;;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Lisse;22;39;23;25;Fort
120;397;us_2;SFR;Rond;Aplatie;Régulier ;45;46;21;61;Faible 
121;397;us_2;SFR;Ovale Large;Aplatie;Régulier ;32;48;17;28;Faible 
122;397;us_2;SFR;Rond;Plano-Convexe;Irrégulier;34;34;20;23;Fort
123;397;us_2;SFR;Semi-circulaire;Aplatie;Déchiqueté;44;52;23;48;Fort
124;397;us_2;SFR;Ovale Large;Plano-Convexe;Déchiqueté;37;29;20;22;Local
125;397;us_2;SFR;Semi-circulaire;Aplatie;Régulier ;46;42;22;45;Local
126;397;us_2;SFR;Ovale Large;Plano-Convexe;Régulier ;32;45;22;52;Local
127;397;us_2;SFR;Rond;Aplatie;Irrégulier;34;38;16;18;Local
128;397;us_2;SFR;Ovale Large;Aplatie;Irrégulier;33;44;15;28;Local
129;397;us_3;SFR;Rond;Plano-Convexe;Irrégulier;79;77;42;192;Fort
130;397;us_3;SFR;Ovale Large;Plano-Convexe;Irrégulier;49;70;40;125;Faible 
131;397;us_3;SFR;Semi-circulaire;Plano-convexe tronquée;Régulier ;48;54;36;59;Faible 
132;397;us_3;SFR;Irrégulière;Aplatie;Déchiqueté;50;65;24;79;Faible 
133;397;us_3;SFR;Rond;Aplatie;Régulier ;37;44;20;36;Local
134;397;us_3;SFR;Semi-circulaire;Plano-Convexe;Déchiqueté;44;56;16;50;Local
135;397;us_3;SFR;Ovale Large;Aplatie;Irrégulier;32;43;14;24;Local
136;397;us_3;SFR;Ovale Large;Plano-convexe tronquée;Régulier ;30;44;23;41;Faible 
137;397;us_3;SFR;Rond;Bombo-convexe tronquée;Irrégulier;40;40;30;47;Local
138;397;us_3;SFR;Rond;Plano-convexe tronquée;Régulier ;27;29;13;44;Fort
139;397;us_3;SFR;Irrégulière;Irregulière;Déchiqueté;20;33;11;18;Fort
140;397;us_3;SFR;Rond;Aplatie;Irrégulier;24;32;6;21;Fort
141;397;us_3;SFR;Ovale Large;Aplatie;Irrégulier;30;51;5;43;Faible 
142;397;us_3;SFR;Semi-circulaire;Aplatie;Irrégulier;33;46;7;39;Local
143;397;us_3;SFR;Ovale Large;Plano-convexe tronquée;Régulier ;12;32;11;17;Faible 
144;397;us_3;SFR;Semi-circulaire;Plano-convexe tronquée;Lisse;10;19;9;17;Fort
145;397;us_3;SFR;Ovale Large;Plano-convexe tronquée;Irrégulier;18;34;21;9;Fort
146;397;us_3;SFR;Ovale Large;Aplatie;Régulier ;44;78;14;69;Faible 
147;397;us_3;SFR;Ovale Large;Aplatie;Régulier ;44;127;22;179;Fort
148;177;;SFR;Rond;Plano-convexe tronquée;Régulier ;25;26;21;18;Fort
149;742;2eme_moitie;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Régulier ;26;50;49;63;Fort
150;414;us_1;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Irrégulier;44;72;30;124;Fort
151;406;2eme_moitie;SFR;Ovale Large avec 2 bord d'appui rectiligne en TC;Plano-convexe tronquée;Régulier ;44;54;24;49;Local
152;406;2eme_moitie;SFR;Ovale Long avec 1 bord d'appui rectiligne;Bombo-convexe tronquée;Irrégulier;62;50;33;103;Local
153;406;2eme_moitie;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Régulier ;21;42;22;19;Fort
154;420;us_2;SFR;Ovale Large;Irregulière;Irrégulier;28;60;45;75;Fort
155;420;us_2;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Régulier ;65;77;31;174;Fort
156;420;us_2;SFR;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Régulier ;25;50;51;86;Fort
